"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0E870","2019-09-11 00:00:00","34.000","117.000","0.900","26.400","0.910","1008.500","-99.000","0.000","-99.000","-99.000","-99.000","32.300","","25.500",""
"C0V490","2019-09-11 00:00:00","20.000","109.000","1.300","26.400","0.990","1010.000","-99.000","14.500","-99.000","-99.000","-99.000","29.400","","24.800",""
"C0M710","2019-09-11 00:00:00","15.000","176.000","1.300","27.000","0.830","1010.500","-99.000","0.500","-99.000","-99.000","-99.000","31.100","","26.100",""
"C0D570","2019-09-11 00:00:00","15.000","0.000","0.000","25.900","1.000","1009.400","-99.000","0.000","-99.000","-99.000","-99.000","32.700","","24.600",""
"C0S910","2019-09-11 00:00:00","212.000","103.000","0.500","26.500","0.990","989.900","-99.000","3.500","-99.000","-99.000","-99.000","27.200","","24.100",""
"C0M650","2019-09-11 00:00:00","20.000","177.000","2.000","24.300","0.930","1010.200","-99.000","1.500","-99.000","-99.000","-99.000","31.300","","24.300",""
"C0K280","2019-09-11 00:00:00","23.000","195.000","1.300","24.700","0.900","1011.500","-99.000","0.000","-99.000","-99.000","-99.000","34.600","","24.700",""
"C0X310","2019-09-11 00:00:00","9.000","169.000","1.300","26.200","0.860","1011.800","-99.000","19.500","-99.000","-99.000","-99.000","29.900","","22.900",""
"C0A9C0","2019-09-11 00:00:00","35.000","110.000","2.700","29.000","0.700","1007.800","-99.000","0.000","-99.000","-99.000","-99.000","34.000","","25.800",""
"C0V810","2019-09-11 00:00:00","32.000","83.000","0.400","25.800","1.000","-99.000","-99.000","25.000","-99.000","-99.000","-99.000","28.700","","24.200",""
"C0E730","2019-09-11 00:00:00","26.000","140.000","1.000","26.500","0.860","1006.800","-99.000","0.500","-99.000","-99.000","-99.000","33.400","","25.600",""
"C0V770","2019-09-11 00:00:00","26.000","84.000","0.800","24.600","0.960","1009.100","-99.000","12.500","-99.000","-99.000","-99.000","29.900","","24.100",""
"C0UA10","2019-09-11 00:00:00","1711.000","349.000","0.800","16.200","1.000","834.700","-99.000","0.500","-99.000","-99.000","-99.000","23.300","","14.600",""
"C0R660","2019-09-11 00:00:00","20.000","124.000","1.300","24.900","-99.000","1010.400","-99.000","-99.000","-99.000","-99.000","-99.000","28.400","","24.700",""
"C0M640","2019-09-11 00:00:00","155.000","191.000","0.600","24.300","0.990","994.600","-99.000","13.500","-99.000","-99.000","-99.000","29.200","","23.800",""
"C0S660","2019-09-11 00:00:00","794.000","223.000","0.700","21.000","0.970","928.200","-99.000","2.500","-99.000","-99.000","-99.000","25.800","","19.300",""
"C0AD40","2019-09-11 00:00:00","32.000","80.000","2.400","28.800","0.660","1007.200","-99.000","0.000","-99.000","-99.000","-99.000","33.800","","23.500",""
"C0UA00","2019-09-11 00:00:00","392.000","311.000","0.500","23.600","0.990","969.700","-99.000","0.000","-99.000","-99.000","-99.000","31.500","","21.300",""
"C0I080","2019-09-11 00:00:00","536.000","249.000","0.400","22.600","0.920","955.600","-99.000","0.000","-99.000","-99.000","-99.000","29.700","","22.500",""
"C0UA30","2019-09-11 00:00:00","1397.000","260.000","0.600","18.700","0.990","862.800","-99.000","0.000","-99.000","-99.000","-99.000","23.600","","17.700",""
"C0Z270","2019-09-11 00:00:00","343.000","199.000","2.300","24.100","0.970","975.800","-99.000","0.000","-99.000","-99.000","-99.000","29.000","","23.100",""
"C0G750","2019-09-11 00:00:00","31.000","173.000","1.500","25.000","0.900","1009.200","-99.000","0.000","-99.000","-99.000","-99.000","32.300","","25.000",""
"C0A550","2019-09-11 00:00:00","422.000","0.000","0.000","24.000","1.000","965.700","-99.000","1.000","-99.000","-99.000","-99.000","29.800","","21.500",""
"C0G830","2019-09-11 00:00:00","27.000","191.000","1.300","25.500","1.000","1007.400","-99.000","0.000","-99.000","-99.000","-99.000","31.300","","25.500",""
"C0R640","2019-09-11 00:00:00","21.000","54.000","2.800","25.500","0.960","1010.500","-99.000","2.500","-99.000","-99.000","-99.000","28.500","","25.200",""
"C0D580","2019-09-11 00:00:00","120.000","0.000","0.000","22.800","0.980","997.200","-99.000","0.000","-99.000","-99.000","-99.000","31.700","","20.800",""
"C0M660","2019-09-11 00:00:00","40.000","185.000","1.800","24.300","0.900","1008.000","-99.000","0.500","-99.000","-99.000","-99.000","32.000","","24.300",""
"C0K330","2019-09-11 00:00:00","38.000","208.000","1.600","25.000","0.920","1007.300","-99.000","0.000","-99.000","-99.000","-99.000","32.000","","25.000",""
"C0E830","2019-09-11 00:00:00","37.000","195.000","2.400","28.400","0.830","1006.500","-99.000","0.000","-99.000","-99.000","-99.000","31.500","","27.300",""
"C0R420","2019-09-11 00:00:00","504.000","87.000","2.600","23.000","-99.000","952.200","-99.000","28.000","-99.000","-99.000","-99.000","23.600","","20.900",""
"C0X290","2019-09-11 00:00:00","10.000","184.000","2.500","25.500","0.910","1011.000","-99.000","56.000","-99.000","-99.000","-99.000","30.600","","23.800",""
"C0U760","2019-09-11 00:00:00","22.000","0.000","0.200","24.700","0.990","1011.600","-99.000","0.000","-99.000","-99.000","-99.000","32.000","","23.200",""
"C0U780","2019-09-11 00:00:00","15.000","232.000","0.600","27.500","0.770","1011.200","-99.000","0.000","-99.000","-99.000","-99.000","30.600","","25.200",""
"C0H9C0","2019-09-11 00:00:00","3402.000","154.000","1.600","8.500","1.000","680.400","-99.000","0.000","-99.000","-99.000","-99.000","15.900","","6.900",""
"C0G730","2019-09-11 00:00:00","27.000","184.000","2.300","25.300","0.940","1009.500","-99.000","0.000","-99.000","-99.000","-99.000","31.100","","25.300",""
"C0Z300","2019-09-11 00:00:00","182.000","0.000","0.100","24.200","0.990","994.800","-99.000","3.000","-99.000","-99.000","-99.000","29.800","","23.200",""
"C0H9A0","2019-09-11 00:00:00","1595.000","291.000","1.100","16.400","0.990","847.600","-99.000","0.000","-99.000","-99.000","-99.000","24.800","","16.200",""
"C0S840","2019-09-11 00:00:00","22.000","310.000","1.000","26.500","0.910","1012.000","-99.000","8.000","-99.000","-99.000","-99.000","30.000","","24.900",""
"C0Z150","2019-09-11 00:00:00","27.000","231.000","0.300","26.800","0.920","1011.100","-99.000","0.000","-99.000","-99.000","-99.000","29.600","","24.300",""
"C0W170","2019-09-11 00:00:00","42.000","55.000","2.800","27.800","0.840","1007.500","-99.000","0.000","-99.000","-99.000","-99.000","31.000","","26.500",""
"C0E540","2019-09-11 00:00:00","32.000","107.000","0.300","25.900","0.930","1007.400","-99.000","0.000","-99.000","-99.000","-99.000","34.200","","25.300",""
"C0D660","2019-09-11 00:00:00","65.000","206.000","0.800","27.100","0.860","1003.600","-99.000","0.000","-99.000","-99.000","-99.000","33.300","","26.000",""
"C0U650","2019-09-11 00:00:00","442.000","245.000","0.900","23.300","0.960","964.000","-99.000","0.500","-99.000","-99.000","-99.000","30.400","","22.500",""
"C0G810","2019-09-11 00:00:00","26.000","174.000","0.800","27.600","0.890","1007.900","-99.000","0.000","-99.000","-99.000","-99.000","33.200","","27.600",""
"C0F9Z0","2019-09-11 00:00:00","3193.000","81.000","0.800","9.800","0.810","700.100","-99.000","1.000","-99.000","-99.000","-99.000","16.200","","8.300",""
"C0M410","2019-09-11 00:00:00","245.000","347.000","1.100","22.200","1.000","981.300","-99.000","5.500","-99.000","-99.000","-99.000","29.400","","22.200",""
"C0I410","2019-09-11 00:00:00","180.000","202.000","1.000","24.700","0.910","991.300","-99.000","0.000","-99.000","-99.000","-99.000","32.700","","24.400",""
"C0K250","2019-09-11 00:00:00","12.000","173.000","1.100","23.900","0.930","1010.700","-99.000","0.000","-99.000","-99.000","-99.000","32.700","","23.500",""
"C0AH80","2019-09-11 00:00:00","68.000","53.000","1.600","27.300","0.790","1003.500","-99.000","0.000","-99.000","-99.000","-99.000","33.000","","23.000",""
"C0V640","2019-09-11 00:00:00","35.000","103.000","0.700","25.000","0.960","1008.200","-99.000","28.500","-99.000","-99.000","-99.000","29.700","","24.400",""
"C0S920","2019-09-11 00:00:00","98.000","0.000","0.100","25.300","0.920","997.500","-99.000","1.500","-99.000","-99.000","-99.000","30.100","","24.400",""
"C0Z070","2019-09-11 00:00:00","247.000","0.000","0.000","24.200","0.990","986.000","-99.000","1.500","-99.000","-99.000","-99.000","31.700","","22.300",""
"C0Z280","2019-09-11 00:00:00","224.000","136.000","1.300","24.200","0.990","989.800","-99.000","1.000","-99.000","-99.000","-99.000","32.300","","22.800",""
"C0SA40","2019-09-11 00:00:00","200.000","0.000","0.000","24.500","0.960","991.500","-99.000","0.500","-99.000","-99.000","-99.000","29.900","","23.100",""
"C0V440","2019-09-11 00:00:00","27.000","125.000","0.600","23.900","0.930","1008.600","-99.000","4.500","-99.000","-99.000","-99.000","29.600","","23.600",""
"C0R490","2019-09-11 00:00:00","49.000","1.000","0.300","24.700","0.980","1006.200","-99.000","20.000","-99.000","-99.000","-99.000","29.600","","24.500",""
"C0B010","2019-09-11 00:00:00","38.000","47.000","3.200","27.700","0.870","1005.500","-99.000","0.000","-99.000","-99.000","-99.000","32.900","","24.400",""
"C0X230","2019-09-11 00:00:00","29.000","174.000","1.900","24.200","0.950","1010.200","-99.000","20.000","-99.000","-99.000","-99.000","30.600","","23.300",""
"C0S770","2019-09-11 00:00:00","375.000","352.000","0.800","24.400","0.890","971.200","-99.000","4.500","-99.000","-99.000","-99.000","26.700","","22.600",""
"C0H890","2019-09-11 00:00:00","440.000","0.000","0.200","24.600","0.900","962.500","-99.000","1.500","-99.000","-99.000","-99.000","30.900","","24.100",""
"C0K480","2019-09-11 00:00:00","56.000","193.000","1.300","25.800","0.890","1005.300","-99.000","0.000","-99.000","-99.000","-99.000","30.900","","25.600",""
"C0Z160","2019-09-11 00:00:00","124.000","107.000","0.700","25.500","0.920","1000.600","-99.000","0.000","-99.000","-99.000","-99.000","31.600","","18.900",""
"C0AH50","2019-09-11 00:00:00","275.000","114.000","4.700","27.400","0.960","980.200","-99.000","0.000","-99.000","-99.000","-99.000","31.800","","25.300",""
"C0F850","2019-09-11 00:00:00","379.000","120.000","0.500","24.500","0.930","968.600","-99.000","0.000","-99.000","-99.000","-99.000","31.400","","23.800",""
"C0G800","2019-09-11 00:00:00","15.000","199.000","2.600","25.500","0.930","1009.600","-99.000","0.000","-99.000","-99.000","-99.000","32.300","","25.500",""
"C0U890","2019-09-11 00:00:00","116.000","251.000","1.200","25.400","0.990","1000.800","-99.000","0.000","-99.000","-99.000","-99.000","30.500","","24.200",""
"C0F860","2019-09-11 00:00:00","2215.000","68.000","0.600","14.600","1.000","783.900","-99.000","0.000","-99.000","-99.000","-99.000","24.000","","12.800",""
"CM0170","2019-09-11 00:00:00","106.000","82.000","1.700","23.700","0.990","1000.800","-99.000","13.500","-99.000","-99.000","-99.000","31.700","","23.600",""
"C0B020","2019-09-11 00:00:00","86.000","97.000","4.600","26.700","0.990","1001.200","-99.000","3.500","-99.000","-99.000","-99.000","32.700","","25.200",""
"C0I390","2019-09-11 00:00:00","1184.000","0.000","0.000","20.200","0.950","887.100","-99.000","0.000","-99.000","-99.000","-99.000","26.200","","18.700",""
"C0T9D0","2019-09-11 00:00:00","7.000","0.000","0.100","24.500","0.990","1013.100","-99.000","0.000","-99.000","-99.000","-99.000","34.600","","23.600",""
"C0E520","2019-09-11 00:00:00","320.000","0.000","0.000","23.400","1.000","976.300","-99.000","0.000","-99.000","-99.000","-99.000","32.900","","22.700",""
"C0C460","2019-09-11 00:00:00","482.000","0.000","0.200","23.600","0.810","958.600","-99.000","0.000","-99.000","-99.000","-99.000","30.800","","22.500",""
"C0AI40","2019-09-11 00:00:00","37.000","68.000","4.700","29.400","0.660","1007.400","-99.000","0.000","-99.000","-99.000","-99.000","33.800","","27.100",""
"C0O930","2019-09-11 00:00:00","69.000","0.000","0.000","22.100","1.000","1005.300","-99.000","4.500","-99.000","-99.000","-99.000","29.900","","22.000",""
